omega,level,primary_holm_p,primary_pass,same_direction_all_core_and_leave_one,core_checks_p_below_0_05,leave_one_facet_p_below_0_05,passes_gate,hgf_model_provenance_verified,publication_ready,publication_hold_reason
omega2,Within person,2.0058925820607746e-07,True,True,True,True,True,False,False,Original HGF code/provenance and order-dependent half fitting require verification or refitting.
omega3,Between people,0.009817183671497249,True,True,False,False,False,False,False,Original HGF code/provenance and order-dependent half fitting require verification or refitting.
