omega,level,b,SE,CI_low,CI_high,z,p,person_weeks,participants,converged,p_holm
omega2,Between people,0.1636302466717715,0.08080698240446217,0.005251471459663787,0.32200902188387925,2.0249518272165528,0.04287231101951167,1000,150,True,0.07773738743171688
omega2,Within person,0.17634439438070348,0.032352095983516294,0.11293545142862861,0.23975333733277837,5.450787314384597,5.0147314551519365e-08,1000,150,True,2.0058925820607746e-07
omega3,Between people,0.28560927767979505,0.09711563599894836,0.0952661287861547,0.4759524265734354,2.940919603130518,0.0032723945571657494,1000,150,True,0.009817183671497249
omega3,Within person,0.056211660522599044,0.02721357477901768,0.002874034065136831,0.10954928698006125,2.0655742944120514,0.03886869371585844,1000,150,True,0.07773738743171688
