week,proportion,n,percent
3,0.5891472868217055,129,58.91472868217055
4,0.5476190476190477,126,54.761904761904766
5,0.5666666666666667,120,56.666666666666664
6,0.6120689655172413,116,61.206896551724135
7,0.6,110,60.0
8,0.6074766355140186,107,60.747663551401864
