omega,level,participant_id,week,n_weeks,x,y
omega2,Between people,P109,,8.0,-0.3745649136749064,0.4379387100067781
omega2,Between people,P110,,8.0,0.7031239558075075,-0.034151915921197956
omega2,Between people,P111,,8.0,0.5333590915546454,-0.05074446376562336
omega2,Between people,P112,,3.0,-0.847330093785987,0.6500938566058361
omega2,Between people,P113,,2.0,-0.0711428501142959,0.12262670521457991
omega2,Between people,P114,,1.0,1.0632873458677845,0.3041979634430492
omega2,Between people,P115,,8.0,0.7925098506281143,0.19012374354635206
omega2,Between people,P116,,3.0,0.6552514676169506,-0.13916275397724917
omega2,Between people,P117,,8.0,-0.9487109721689988,-1.4103053502519378
omega2,Between people,P118,,8.0,0.461257029596722,-0.20771744292744102
omega2,Between people,P119,,8.0,-0.18517924440054384,-1.6956671833501302
omega2,Between people,P120,,8.0,-0.5134088896552435,0.4923979440424313
omega2,Between people,P121,,8.0,0.6000516421784655,0.039027960537236256
omega2,Between people,P122,,1.0,1.0284454654617594,0.21133481875734267
omega2,Between people,P123,,8.0,-0.5015766128954297,0.728144912597553
omega2,Between people,P124,,8.0,0.7465121752323713,-0.9757781106675683
omega2,Between people,P125,,8.0,0.43254468786026523,0.396054072990217
omega2,Between people,P126,,8.0,-1.7404167507348682,1.284116731906714
omega2,Between people,P127,,8.0,0.7077140142253554,0.19304439386691208
omega2,Between people,P128,,8.0,0.3839743660274759,-0.1648755516169768
omega2,Between people,P129,,8.0,-0.4679480270747929,0.8829494077309952
omega2,Between people,P130,,8.0,-0.9917405794636982,-0.32573308527625955
omega2,Between people,P131,,8.0,0.33196558564807677,0.10321749459865327
omega2,Between people,P132,,2.0,-0.7855247295644932,-0.49001719649917325
omega2,Between people,P133,,8.0,-0.3103798419615703,0.09025260774783363
omega2,Between people,P134,,8.0,0.6698103999825481,-0.08751356660776945
omega2,Between people,P135,,8.0,-0.18412732797461986,0.42794095360154727
omega2,Between people,P136,,4.0,0.7940750181776352,-0.5477548334020065
omega2,Between people,P137,,5.0,-0.6315025438092684,0.4422316077392467
omega2,Between people,P138,,8.0,-0.11477434371597546,0.7109918341540421
omega2,Between people,P139,,8.0,-0.476611906657199,1.0760693763362605
omega2,Between people,P140,,8.0,0.18645117550206186,-0.3702048629142732
omega2,Between people,P141,,8.0,0.5736917626523127,0.06325650610752964
omega2,Between people,P142,,8.0,0.6260981028397969,-0.4606292914900256
omega2,Between people,P143,,8.0,0.17093658854020768,0.3633455866461546
omega2,Between people,P144,,8.0,0.31594641705567234,-0.8708125111890257
omega2,Between people,P145,,8.0,0.44131306996635583,-0.2396690693325025
omega2,Between people,P146,,6.0,0.42709060570203494,-0.12887826826884544
omega2,Between people,P147,,1.0,-2.719808509748792,-2.825479289024734
omega2,Between people,P148,,8.0,-0.9007720167854256,0.49480800034081307
omega2,Between people,P149,,8.0,0.6474030573200511,-0.09498291999362202
omega2,Between people,P150,,8.0,0.563976911172059,-0.2303919327534803
omega2,Within person,P001,1.0,,0.15550142874976866,-1.1680162584493894
omega2,Within person,P001,2.0,,1.16416961169777,0.025478128699323643
omega2,Within person,P001,3.0,,0.6163008018821738,-0.7189362715165769
omega2,Within person,P001,4.0,,-0.18900810901242993,0.6191302845075375
omega2,Within person,P001,5.0,,-0.4177290423634145,0.5942459526870207
omega2,Within person,P001,6.0,,-0.24669224076511892,0.31721492233764736
omega2,Within person,P001,7.0,,-0.3512420150934799,0.39708568158532576
omega2,Within person,P001,8.0,,-0.7313004350952692,-0.06620243985088875
omega2,Within person,P002,1.0,,0.6213859843207912,-0.5169204096463198
omega2,Within person,P002,2.0,,0.7180610592312534,0.18075957348238014
omega2,Within person,P002,3.0,,-1.0484438813025205,-0.23873224471014154
omega2,Within person,P002,4.0,,0.1521423362644434,-0.6343141847338748
omega2,Within person,P002,5.0,,0.19122986452288715,-0.06936178791110437
omega2,Within person,P002,6.0,,-0.0030861780980195874,0.5661595177582939
omega2,Within person,P002,7.0,,-0.3893200137727437,0.17399000050865654
omega2,Within person,P002,8.0,,-0.24196917116609074,0.5384195352521104
omega2,Within person,P003,1.0,,0.6717492305583164,-0.12815241298206403
omega2,Within person,P003,2.0,,-0.6717492305583164,0.12815241298206392
omega2,Within person,P004,1.0,,-0.3529294323686182,0.30008950655849603
omega2,Within person,P004,2.0,,0.23138769866738318,0.42658396699459683
omega2,Within person,P004,3.0,,-0.3659301224352959,-0.7675093307730567
omega2,Within person,P004,4.0,,-0.2338752307957278,0.04920060542365823
omega2,Within person,P004,5.0,,0.03339301174179099,0.6468799987699083
omega2,Within person,P004,6.0,,-0.20912842049780134,-0.0884865228183499
omega2,Within person,P004,7.0,,0.6184524866787268,-0.24091444553553393
omega2,Within person,P004,8.0,,0.27863000900954227,-0.32584377861971897
omega2,Within person,P005,1.0,,0.0,0.0
omega2,Within person,P006,1.0,,0.6341732129228969,0.24870371524777118
omega2,Within person,P006,2.0,,0.5096180163071936,-0.815668882031721
omega2,Within person,P006,3.0,,0.17942298459759334,-0.7629577151087812
omega2,Within person,P006,4.0,,-0.4007322640166533,0.5399579084093853
omega2,Within person,P006,5.0,,0.3819511705758827,0.12578577963037804
omega2,Within person,P006,6.0,,-1.040131174751328,-0.03646011876112232
omega2,Within person,P006,7.0,,-0.05983998960802203,0.1708591773072636
omega2,Within person,P006,8.0,,-0.204461956027563,0.5297801353068265
omega2,Within person,P007,1.0,,-0.769381723741355,-0.6015979269016826
omega2,Within person,P007,2.0,,-0.21166551412487566,-0.5431798790574882
omega2,Within person,P007,3.0,,0.2577974775909163,-0.3756567940552651
omega2,Within person,P007,4.0,,0.03566223281810055,0.36808552949690854
omega2,Within person,P007,5.0,,0.19218681272557225,0.1445788713205456
omega2,Within person,P007,6.0,,0.0928718002305774,0.33324010876059895
omega2,Within person,P007,7.0,,0.23969754373733354,0.20805699954322532
omega2,Within person,P007,8.0,,0.16283137076373055,0.4664730908931576
omega2,Within person,P008,1.0,,-0.4759845587068632,-0.6402447141395976
omega2,Within person,P008,3.0,,-0.21495767411172745,-0.2561201298967546
omega2,Within person,P008,4.0,,0.7453043392962407,-0.19486217425543245
omega2,Within person,P008,5.0,,-0.29638010592120656,0.48381920150413593
omega2,Within person,P008,6.0,,0.24201799944355645,0.6074078167876488
omega2,Within person,P009,1.0,,-0.2644475355485264,-1.0008900437746189
omega2,Within person,P009,2.0,,-0.0724281238116703,0.4643883779365155
omega2,Within person,P009,3.0,,0.001609266980302615,0.3022240699106465
omega2,Within person,P009,4.0,,0.21970442246542166,-0.05775854894482646
omega2,Within person,P009,5.0,,0.052553205422295024,-0.22908863616175548
omega2,Within person,P009,6.0,,0.09459703718307078,-0.14081302102410714
omega2,Within person,P009,7.0,,-0.040413195041710925,0.32912059638456376
omega2,Within person,P009,8.0,,0.008824922350817,0.33281720567358214
omega2,Within person,P010,1.0,,0.8323520961972384,0.28376616659046905
omega2,Within person,P010,2.0,,0.4796223297501502,-2.005531562454225
omega2,Within person,P010,3.0,,-2.699732857005279,-0.7169570262748197
omega2,Within person,P010,4.0,,0.22474167240279136,0.09412224302728708
omega2,Within person,P010,5.0,,0.3049947124202924,0.22232587203167237
omega2,Within person,P010,6.0,,1.0023876069251907,0.8101285633125883
omega2,Within person,P010,7.0,,0.428854215627515,0.6366620964058776
omega2,Within person,P010,8.0,,-0.5732197763178986,0.6754836473611503
omega2,Within person,P011,1.0,,0.46781436821482925,-0.0035015888126674888
omega2,Within person,P011,2.0,,-0.6699017218342513,-0.8470387518616538
omega2,Within person,P011,3.0,,-0.710741781816933,-0.7656287348276738
omega2,Within person,P011,4.0,,1.2509333088219536,0.6529100738850291
omega2,Within person,P011,5.0,,-0.5591942229274132,1.032128892073317
omega2,Within person,P011,6.0,,1.7428199228312287,0.3189920759995153
omega2,Within person,P011,7.0,,-0.803750204585818,0.19199313712740196
omega2,Within person,P011,8.0,,-0.7179796687035962,-0.5798551035832697
omega2,Within person,P012,1.0,,0.0,0.0
omega2,Within person,P013,1.0,,0.18950445611347155,-1.5441202013540454
omega2,Within person,P013,2.0,,0.16065623492318493,0.10953075701490234
omega2,Within person,P013,3.0,,0.5069152551720794,-0.23555946795785987
omega2,Within person,P013,4.0,,-0.4416134409573358,-0.10561424272103359
omega2,Within person,P013,5.0,,-0.5963860274379865,0.3118941861625556
omega2,Within person,P013,6.0,,0.1785833819928352,0.677354513608544
omega2,Within person,P013,7.0,,0.08381549733840082,0.7068300073757802
omega2,Within person,P013,8.0,,-0.08147535714464949,0.0796844478711568
omega2,Within person,P014,1.0,,0.4460070972996769,-0.0016103890031535784
omega2,Within person,P014,2.0,,0.018829389648017614,-0.5335351903972166
omega2,Within person,P014,3.0,,0.08182662640488514,-0.012276898643567735
omega2,Within person,P014,4.0,,0.34372758898405154,-0.7972543818593285
omega2,Within person,P014,5.0,,-0.18740855238675547,0.2523832475008656
omega2,Within person,P014,6.0,,-0.39089857220189494,0.6491104207465024
omega2,Within person,P014,7.0,,0.038100759820724694,0.2688093743317539
omega2,Within person,P014,8.0,,-0.3501843375687058,0.1743738173241447
omega2,Within person,P015,1.0,,0.0,0.0
omega2,Within person,P016,1.0,,-0.021710533686950972,0.33394082102766665
omega2,Within person,P016,2.0,,-1.2692775376531602,0.3802523380707352
omega2,Within person,P016,3.0,,0.5652842441722021,-1.2593586149878189
omega2,Within person,P016,4.0,,0.7257038271679089,0.5451654558894166
omega2,Within person,P017,1.0,,0.0274995842991701,-0.7424427911544578
omega2,Within person,P017,2.0,,-0.1027148149762791,0.1918169062355058
omega2,Within person,P017,3.0,,0.056058826706545384,0.05997278776832421
omega2,Within person,P017,4.0,,0.17589227230113236,0.055842672241204705
omega2,Within person,P017,5.0,,-0.1027148149762791,0.1918169062355058
omega2,Within person,P017,6.0,,-0.05402105335428964,0.24299351867391733
omega2,Within person,P018,1.0,,1.0494381132882573,-0.5844042628535508
omega2,Within person,P018,2.0,,1.1892624371095408,-0.8460820663159867
omega2,Within person,P018,3.0,,0.47954447848621656,-0.10321542305593845
omega2,Within person,P018,4.0,,-1.9521307962711996,0.8604095011311104
omega2,Within person,P018,5.0,,-0.8564333608765324,0.255403615001206
omega2,Within person,P018,6.0,,-0.2703118059109477,0.6910680375948961
omega2,Within person,P018,7.0,,0.5537378050125467,0.029929557868293877
omega2,Within person,P018,8.0,,-0.1931068708378819,-0.3031089593700297
omega2,Within person,P019,1.0,,0.13675522318792144,0.05230717091700232
omega2,Within person,P019,2.0,,-0.13675522318792133,-0.05230717091700221
omega2,Within person,P020,1.0,,-0.9936632931138898,0.5270089304518522
omega2,Within person,P020,2.0,,-1.0652574488905042,-1.0097871025558907
omega2,Within person,P020,3.0,,-0.6003358810687298,-0.3632780295560738
omega2,Within person,P020,4.0,,-0.045030054443726986,0.5096504720753616
omega2,Within person,P020,5.0,,0.7220241888101133,-0.10534451121187871
omega2,Within person,P020,6.0,,0.7801658675161934,-0.9958153905916447
omega2,Within person,P020,7.0,,0.3105926961823551,-0.14118247326221622
omega2,Within person,P020,8.0,,0.8915039250081895,1.578748104650491
omega2,Within person,P021,1.0,,-1.6051556572389503,0.33545883255571796
omega2,Within person,P021,2.0,,-0.9487846477149057,0.18999978815742913
omega2,Within person,P021,3.0,,0.4493459241798586,-0.5287011833520557
omega2,Within person,P021,4.0,,1.0185837413755545,-0.5462835117298727
omega2,Within person,P021,5.0,,0.6627432703409349,-0.06488083671207012
omega2,Within person,P021,6.0,,0.211652886868134,0.3622514890745667
omega2,Within person,P021,7.0,,0.21161448218937395,0.25215542200628605
omega2,Within person,P022,1.0,,-0.32555331147185085,0.007238350857463383
omega2,Within person,P022,2.0,,-0.6007194403377459,0.35391154423886995
omega2,Within person,P022,3.0,,0.33484699631558396,-0.18696890086747198
omega2,Within person,P022,4.0,,0.5914257554940128,-0.17418099422886113
omega2,Within person,P023,1.0,,-0.41303144294610894,-0.8371980375162775
omega2,Within person,P023,2.0,,0.13065966067692258,0.2794219253893918
omega2,Within person,P023,3.0,,0.39901026886422897,0.3710258071420564
omega2,Within person,P023,4.0,,-0.037179860723184244,0.6959664519232938
omega2,Within person,P023,5.0,,0.19914710981095174,0.4205511657142699
omega2,Within person,P023,6.0,,-0.43525880735089323,-0.7097062793579787
omega2,Within person,P023,7.0,,0.06299354891804176,-0.42568804173991437
omega2,Within person,P023,8.0,,0.09365952275004097,0.20562700844515877
omega2,Within person,P024,1.0,,-0.5242937882586083,-0.9925628739265041
omega2,Within person,P024,2.0,,0.5001420329474522,0.18786510349243346
omega2,Within person,P024,3.0,,0.19840636690600388,0.3142145410255889
omega2,Within person,P024,4.0,,0.0806503673504787,-0.07707403989654957
omega2,Within person,P024,5.0,,-0.11783127311457209,0.3086106201587513
omega2,Within person,P024,6.0,,0.05073081142812519,0.03500110843625731
omega2,Within person,P024,7.0,,-0.29393005143403256,0.1411089496876634
omega2,Within person,P024,8.0,,0.1061255341751528,0.08283659102235946
omega2,Within person,P025,1.0,,0.48070115373310074,-0.2093507976618541
omega2,Within person,P025,2.0,,0.3267916636348276,0.10205286504028097
omega2,Within person,P025,3.0,,0.10225041914950206,-0.1739528199727952
omega2,Within person,P025,4.0,,-0.25399598748398977,-0.14763784228003504
omega2,Within person,P025,5.0,,-0.26537737610886825,0.10166508220499432
omega2,Within person,P025,6.0,,-0.1830007795289994,0.12761958180122002
omega2,Within person,P025,7.0,,-0.31705828885147325,0.16802377803817972
omega2,Within person,P025,8.0,,0.10968919545590072,0.03158015283000927
omega2,Within person,P026,1.0,,0.41883827743386237,0.1933320404636253
omega2,Within person,P026,2.0,,-0.4188382774338623,-0.19333204046362532
omega2,Within person,P027,1.0,,-0.7095360525461936,0.724025966270547
omega2,Within person,P027,2.0,,-0.23999425124660978,-2.0116564880806385
omega2,Within person,P027,3.0,,0.2532954023813191,0.20286444319718905
omega2,Within person,P027,4.0,,0.48350736190267063,0.1659548718656797
omega2,Within person,P027,5.0,,0.1922970135537071,0.13977504575806174
omega2,Within person,P027,6.0,,0.397875832133868,0.02424638120865147
omega2,Within person,P027,7.0,,0.02943882456608138,0.3359941888246074
omega2,Within person,P027,8.0,,-0.4068841307448423,0.4187955909559019
omega2,Within person,P028,1.0,,-1.7310118712104972,0.17667331901777827
omega2,Within person,P028,2.0,,0.8780931055126002,-0.3213959664416056
omega2,Within person,P028,3.0,,0.24103329264733056,0.13711397802784897
omega2,Within person,P028,4.0,,0.341154072013927,0.024056699402499993
omega2,Within person,P028,5.0,,0.2707314010366393,-0.01644803000652173
omega2,Within person,P029,1.0,,0.030878525038982474,0.20421499208343663
omega2,Within person,P029,2.0,,0.021317010482594156,-1.4972998087861833
omega2,Within person,P029,3.0,,-0.0039773820269100035,-0.015823405132462387
omega2,Within person,P029,4.0,,0.008222817151545048,-0.6234841743070998
omega2,Within person,P029,5.0,,0.039984585649328164,1.2221980245573438
omega2,Within person,P029,6.0,,-0.0321449403431151,0.049663058721025166
omega2,Within person,P029,7.0,,-0.021938589782034335,-0.05922040490875924
omega2,Within person,P029,8.0,,-0.0423420261703904,0.7197517177726995
omega2,Within person,P030,1.0,,0.24890095645947863,0.2157567315795666
omega2,Within person,P030,2.0,,0.034323019579727054,0.07335766534879391
omega2,Within person,P030,3.0,,-0.4403491080032659,0.5781704152754754
omega2,Within person,P030,4.0,,0.26113061906285906,-0.004240968317940463
omega2,Within person,P030,5.0,,-0.1743942735492775,0.07711875804096176
omega2,Within person,P030,6.0,,0.14585673313722247,-0.6951467175340654
omega2,Within person,P030,7.0,,-0.13314614567469396,0.3168954252352243
omega2,Within person,P030,8.0,,0.05767819898795068,-0.561911309628016
omega2,Within person,P031,1.0,,0.0,0.0
omega2,Within person,P032,1.0,,-0.016909435859310373,-0.12497290346277126
omega2,Within person,P032,2.0,,-0.2757582253363886,0.0393782688765312
omega2,Within person,P032,4.0,,0.11849690134955904,0.04053497392117858
omega2,Within person,P032,5.0,,-0.03162805866733509,-0.08297576733244236
omega2,Within person,P032,6.0,,0.019806912338021343,-0.039110099528089554
omega2,Within person,P032,7.0,,0.09299595308772679,0.08357276376279668
omega2,Within person,P032,8.0,,0.09299595308772679,0.08357276376279668
omega2,Within person,P033,1.0,,-0.3825818934295184,-1.4036780317554431
omega2,Within person,P033,2.0,,-0.5018230003914202,1.1790961280693772
omega2,Within person,P033,3.0,,-0.16319339732109778,-0.0828638869933111
omega2,Within person,P033,4.0,,0.26209891861232515,0.39350916507747224
omega2,Within person,P033,5.0,,0.7854993725297114,-0.0860633743980953
omega2,Within person,P034,1.0,,0.010838074342820914,0.08304150996625714
omega2,Within person,P034,2.0,,-1.0368112930326068,0.08433164885026256
omega2,Within person,P034,3.0,,-0.3314452458496251,0.3530732055901955
omega2,Within person,P034,4.0,,-0.5134493257088049,0.16990905046016525
omega2,Within person,P034,5.0,,0.05489318920470454,-0.020378141451515397
omega2,Within person,P034,6.0,,1.2344953113000179,-1.0196412573136004
omega2,Within person,P034,7.0,,0.09368330061746577,-0.04043720069849166
omega2,Within person,P034,8.0,,0.4877959891260282,0.3901011845967264
omega2,Within person,P035,1.0,,0.5229644135757419,0.18409466864224627
omega2,Within person,P035,2.0,,0.288029167548251,-0.21550302751359063
omega2,Within person,P035,3.0,,-0.008827848820605999,0.15752806825267246
omega2,Within person,P035,4.0,,0.44489719123815524,-0.10055886061756457
omega2,Within person,P035,5.0,,0.04669620322431817,0.043000061993582694
omega2,Within person,P035,6.0,,-0.045954823494300995,-0.041690849106793285
omega2,Within person,P035,7.0,,-0.1466246729131619,-0.04843352697048617
omega2,Within person,P035,8.0,,-1.1011796303583974,0.02156346531993325
omega2,Within person,P036,1.0,,0.03600686760446503,-0.13665292750418384
omega2,Within person,P036,2.0,,-0.1425540906231435,-0.5737835941047168
omega2,Within person,P036,3.0,,-0.09064296796888738,-0.192148720875724
omega2,Within person,P036,4.0,,0.2333719739075979,0.07590035220141683
omega2,Within person,P036,5.0,,0.36379502862964797,0.2893842706461039
omega2,Within person,P036,6.0,,-0.19304399692640062,0.5048878015606765
omega2,Within person,P036,7.0,,-0.3440215749150829,-0.23577800430841245
omega2,Within person,P036,8.0,,0.13708876029180384,0.2681908223848399
omega2,Within person,P037,1.0,,0.18937737581633238,-1.479398258884854
omega2,Within person,P037,2.0,,-0.6195506356643273,0.2098967029826173
omega2,Within person,P037,3.0,,0.29331997322668724,0.07750046614081203
omega2,Within person,P037,4.0,,0.653260277875366,0.08233775062816945
omega2,Within person,P037,5.0,,0.18698412305352644,0.01822359095562233
omega2,Within person,P037,6.0,,-0.5310234611564715,0.5381807759623806
omega2,Within person,P037,7.0,,-0.07998159717150377,-0.10144486503697478
omega2,Within person,P037,8.0,,-0.09238605597960944,0.654703837252227
omega2,Within person,P038,1.0,,-1.0219578703955987,0.3324507955878527
omega2,Within person,P038,2.0,,0.1261404087436332,0.6560306452400143
omega2,Within person,P038,3.0,,0.5848690077158313,0.6923132981497447
omega2,Within person,P038,4.0,,-0.15423757923943887,-0.4211898960400319
omega2,Within person,P038,5.0,,-0.09007946648886084,-0.22445790868610083
omega2,Within person,P038,6.0,,0.40864400366727793,0.7745094012552917
omega2,Within person,P038,7.0,,0.20918167976126034,-1.7169745519127981
omega2,Within person,P038,8.0,,-0.0625601837641041,-0.09268178359397228
omega2,Within person,P039,1.0,,-0.1842674362937936,-1.2689317404392209
omega2,Within person,P039,2.0,,-0.32256881223918954,0.4430070979925836
omega2,Within person,P039,3.0,,0.27622944461728305,0.49033796954001857
omega2,Within person,P039,4.0,,0.1855972513733238,-0.06791600467687028
omega2,Within person,P039,5.0,,-0.011550176314549188,-0.07658917645172349
omega2,Within person,P039,6.0,,0.3500967284102907,-0.2547824603981494
omega2,Within person,P039,7.0,,-0.07727604267819,0.45548879310639206
omega2,Within person,P039,8.0,,-0.2162609568751751,0.27938552132696964
omega2,Within person,P040,1.0,,-1.522996283578353,-1.4162708029009135
omega2,Within person,P040,2.0,,-2.8750315399054083,0.253113163749851
omega2,Within person,P040,3.0,,0.6938503832347553,0.1894250132853781
omega2,Within person,P040,4.0,,1.0212456222518818,0.21769735665053155
omega2,Within person,P040,5.0,,0.9505291378453162,0.16557999221363778
omega2,Within person,P040,6.0,,0.7675367489437177,0.7106141866294484
omega2,Within person,P040,7.0,,0.39069964779759475,-0.458809584246215
