omega,level,participant_id,week,n_weeks,x,y
omega2,Between people,P001,,8.0,-0.24333853051004323,0.19672867338339728
omega2,Between people,P002,,8.0,-1.0312917852269585,1.0463532831780649
omega2,Between people,P003,,2.0,0.2232279330612877,0.8091249152486955
omega2,Between people,P004,,8.0,-0.8436386510562109,0.30212394004525905
omega2,Between people,P005,,1.0,-0.6799194622459842,0.831385669770686
omega2,Between people,P006,,8.0,0.21727116738387012,-0.246079750340992
omega2,Between people,P007,,8.0,-0.8150655473858647,1.3458383569228285
omega2,Between people,P008,,5.0,0.0954459269562651,-0.048044572019963594
omega2,Between people,P009,,8.0,0.79817123301626,0.17271845652576318
omega2,Between people,P010,,8.0,0.2724108575198796,-0.31070229235652663
omega2,Between people,P011,,8.0,-1.555902145757675,-2.219797543489082
omega2,Between people,P012,,1.0,0.7680693523526165,-1.629335882908634
omega2,Between people,P013,,8.0,-0.5203121215723284,0.9285627021538237
omega2,Between people,P014,,8.0,-0.5929413239183157,1.1546053931665885
omega2,Between people,P015,,1.0,-2.8213142539772953,-3.290151019629674
omega2,Between people,P016,,4.0,-1.2429205062218627,1.1765838835996747
omega2,Between people,P017,,6.0,0.8919326340900776,0.44481667239053563
omega2,Between people,P018,,8.0,-0.23581905242920434,1.0444141871288004
omega2,Between people,P019,,2.0,0.6656841183285509,-0.7255672782064551
omega2,Between people,P020,,8.0,-1.0759000258652596,-2.0358109501433836
omega2,Between people,P021,,7.0,-0.5411764104041149,1.4260703408766406
omega2,Between people,P022,,4.0,0.12979584932858473,0.7815048865453885
omega2,Between people,P023,,8.0,0.6801910067792054,-0.158821600114749
omega2,Between people,P024,,8.0,0.7620984484272799,0.19247329471861907
omega2,Between people,P025,,8.0,0.853695706650873,0.015332855856354181
omega2,Between people,P026,,2.0,0.8143587930980625,-0.18320622774333636
omega2,Between people,P027,,8.0,0.7201674947720091,-0.32471989276138535
omega2,Between people,P028,,5.0,-0.48169167699173154,0.5444063722122556
omega2,Between people,P029,,8.0,-2.8862836459238395,-2.421030649584761
omega2,Between people,P030,,8.0,0.98724844637753,0.060862501177236586
omega2,Between people,P031,,1.0,0.9940100756693343,0.13684359061373141
omega2,Between people,P032,,7.0,0.8549609697441908,0.21988684709977455
omega2,Between people,P033,,5.0,0.5429981017350708,-0.2226734525672498
omega2,Between people,P034,,8.0,-0.9594964611649637,1.41486376797001
omega2,Between people,P035,,8.0,0.26227214363220935,0.1100859125582489
omega2,Between people,P036,,8.0,0.5674192898236354,0.046114600094206024
omega2,Between people,P037,,8.0,0.13686654670051687,-0.06214990316604049
omega2,Between people,P038,,8.0,0.5208725147024008,-0.7826847603924328
omega2,Between people,P039,,8.0,-0.33928983466115537,0.12497919471394019
omega2,Between people,P040,,8.0,0.3645727859725109,-0.2408031720885602
omega2,Between people,P041,,8.0,-0.21962087445174786,-0.053190085575026254
omega2,Between people,P042,,8.0,-0.6665552253078758,-0.5241303202747606
omega2,Between people,P043,,4.0,0.09084944296824463,-0.2900719768265446
omega2,Between people,P044,,3.0,-0.7986443283325121,-1.145198408549181
omega2,Between people,P045,,7.0,0.006850889670381555,-0.8785334174068521
omega2,Between people,P046,,8.0,0.36654942631226894,-0.3368959340916767
omega2,Between people,P047,,8.0,0.22316079466823147,-0.37645986485795885
omega2,Between people,P048,,8.0,-0.15685178824277157,-1.4205648110956495
omega2,Between people,P049,,2.0,0.7257905245140256,0.6407382653612063
omega2,Between people,P050,,6.0,0.9853999882843337,-0.22298360460735725
omega2,Between people,P051,,8.0,1.0358108690718644,0.4484016853326776
omega2,Between people,P052,,8.0,-1.0256981374129759,-0.2516111703371333
omega2,Between people,P053,,8.0,0.9296002807703295,-0.057442168632504176
omega2,Between people,P054,,8.0,0.7590526354261946,0.3114738790637657
omega2,Between people,P055,,3.0,-0.22770921730911522,-0.5033111285575441
omega2,Between people,P056,,8.0,0.14324794890133746,-0.014757580912059864
omega2,Between people,P057,,1.0,-2.6755950852943773,-3.880464380115928
omega2,Between people,P058,,8.0,0.5807937710254947,0.3834039139451758
omega2,Between people,P059,,8.0,0.7885389471861495,-0.5727219364708377
omega2,Between people,P060,,8.0,-1.395773047565642,-2.3274260652262875
omega2,Between people,P061,,1.0,0.5610188361571673,-0.8837626498957591
omega2,Between people,P062,,8.0,0.47210844268205915,-0.17941087759680305
omega2,Between people,P063,,8.0,-0.8685722199442606,1.5526025489778212
omega2,Between people,P064,,5.0,0.9967503340048731,-0.26767305760762505
omega2,Between people,P065,,8.0,0.12822934502107602,0.1773715293257609
omega2,Between people,P066,,8.0,-0.10722963189888267,0.5300848132198493
omega2,Between people,P067,,2.0,0.49510783560362503,-0.5589073077894845
omega2,Between people,P068,,8.0,-0.1347322214481702,0.4294007460293583
omega2,Between people,P069,,7.0,-2.8936691308755123,1.118356448348721
omega2,Between people,P070,,8.0,-0.11096119558319613,-1.759021885565152
omega2,Between people,P071,,8.0,-0.3193721043874014,0.4452009732611281
omega2,Between people,P072,,8.0,-0.10159347279867148,-0.4364875730072514
omega2,Between people,P073,,8.0,0.41490458339545294,-0.11446475946728266
omega2,Between people,P074,,8.0,-0.06502341308891806,-0.275858989575545
omega2,Between people,P075,,2.0,0.5366008378151447,-0.9056128072023436
omega2,Between people,P076,,8.0,0.7531935763720551,-0.23666716153408687
omega2,Between people,P077,,8.0,0.6886303346328645,0.08537131700835356
omega2,Between people,P078,,4.0,0.2990008417431065,0.3056530212378469
omega2,Between people,P079,,8.0,0.07202015341512708,-0.04503511115887661
omega2,Between people,P080,,8.0,-0.8310718286031522,0.6566002775666209
omega2,Between people,P081,,8.0,0.08353947824551479,-0.2114563431573928
omega2,Between people,P082,,8.0,0.49188885142493555,-0.19083425808450383
omega2,Between people,P083,,1.0,-0.995334898934698,-1.26969072968514
omega2,Between people,P084,,3.0,0.2988040264017386,-0.7928929256069646
omega2,Between people,P085,,8.0,-0.47311605465609813,-0.34402647244820694
omega2,Between people,P086,,8.0,0.6583440030994103,0.18718508070016304
omega2,Between people,P087,,8.0,0.39623177529241616,0.03679968298382682
omega2,Between people,P088,,8.0,0.17565812683354026,0.06543033077158006
omega2,Between people,P089,,8.0,0.42064000633646986,0.283145609354201
omega2,Between people,P090,,6.0,1.0536027391029552,0.4160804753914844
omega2,Between people,P091,,8.0,-0.8905515428130399,0.865613827208998
omega2,Between people,P092,,8.0,-0.44399315602908535,1.1303158252926224
omega2,Between people,P093,,8.0,-0.17606373380769064,0.16975634957752056
omega2,Between people,P094,,8.0,0.7662326398770176,-0.4130383886999375
omega2,Between people,P095,,8.0,0.07710967775736631,0.5623885249410295
omega2,Between people,P096,,4.0,-0.8431081322040596,0.13736401231783557
omega2,Between people,P097,,8.0,0.8708429450812278,-0.41577876452732176
omega2,Between people,P098,,8.0,-0.6228769348327875,-0.023856341295157485
omega2,Between people,P099,,8.0,0.5943253565017559,0.24897359107300027
omega2,Between people,P100,,8.0,1.1865897285926224,0.3032453635915925
omega2,Between people,P101,,8.0,0.9339313634858898,0.2650354540354783
omega2,Between people,P102,,2.0,0.3146658292331335,-0.10454837731643135
omega2,Between people,P103,,8.0,-0.5054866621905421,-0.006517397879705233
omega2,Between people,P104,,8.0,-1.6742434578690017,0.8771557900496061
omega2,Between people,P105,,8.0,-1.3701424309579475,-2.3031075966550643
omega2,Between people,P106,,8.0,0.6564008030239188,0.16449166094189402
omega2,Between people,P107,,8.0,-0.14431754020174825,1.1176595130681464
omega2,Between people,P108,,8.0,-0.49353638921595044,1.0017253572332026
