Group,n,Mean WSR (%),SEM (%),mann_whitney_U,mann_whitney_P,spearman_rho,spearman_P
Below 11,127,5.02905371736775,0.873912312170094,2098.0,0.0004459363790441247,0.2865108926919534,0.0003787156013260636
At/above 11,23,14.451446066684328,4.403649259562652,2098.0,0.0004459363790441247,0.2865108926919534,0.0003787156013260636
