Analysis,b,SE,CI low,CI high,P,Person-weeks,Participants
Primary: categorical week effects,0.49365203083580467,0.195798316086825,0.10988733130562767,0.8774167303659817,0.011694633141192984,1000,150
Participant-specific linear session slopes,0.48888193042224426,0.19585754566322552,0.10500114092232227,0.8727627199221663,0.01255637439204161,1000,150
Exclude week 1,0.2623082835447366,0.20035139401868166,-0.13038044873187943,0.6549970158213527,0.19045268732689702,850,140
Weeks 3–8,0.2933805717831144,0.22967543616554853,-0.15678328310136075,0.7435444266675895,0.20147155894615387,708,131
Weeks 3–8 + Omicron concern,0.2962771374006551,0.22975423765092512,-0.15404116839515813,0.7465954431964683,0.19721063460765997,708,131
