Marker,Level,b,SE,CI low,CI high,z,P,Person-weeks,Participants
Win-switch rate,Between people,1.7419972506863295,0.5477080446814724,0.6684894831106436,2.8155050182620154,3.180521570939155,0.0014701019402850266,1000,150
Win-switch rate,Within person,0.09036465543460401,0.22023829432724995,-0.3413024014468059,0.5220317123160139,0.41030401052930443,0.6815829504713544,1000,150
Win-switch rigidity,Between people,-2.225501458708776,0.6725060939138474,-3.5436134027799167,-0.907389514637635,-3.309265862197343,0.0009354096694140948,1000,150
Win-switch rigidity,Within person,0.49365203083580467,0.195798316086825,0.10988733130562767,0.8774167303659817,2.521227152009311,0.011694633141192984,1000,150
Volatility prior (μ₃⁰),Between people,2.113392381963487,0.8368152556625533,0.47323448086488273,3.7535502830620917,2.5255184673828595,0.0115527709394407,1000,150
Volatility prior (μ₃⁰),Within person,0.08885042648868176,0.16390457708907552,-0.23240254460590626,0.41010339758326975,0.5420863045233638,0.5877590529317249,1000,150
