Week,n,r_SB
1,143,0.8433063647613223
2,138,0.8593150991752505
3,128,0.867055386498499
4,124,0.7033907814999639
5,117,0.8525740987802941
6,112,0.7930718971094245
7,109,0.8646919808374923
8,105,0.7593262195284822
