Marker,difference,SE,CI low,CI high,z,P
Win-switch rate,1.6516325952517255,0.5883723314799635,0.49842282555099704,2.804842364952454,2.8071214550441015,0.004998639113224012
Win-switch rigidity,-2.7191534895445804,0.6988160409642913,-4.088832929834592,-1.3494740492545694,-3.891086251815914,9.979644735585374e-05
