run,run_label,tertile,probability,lower,upper,switches,opportunities
1,1,Low,0.044272595456742385,0.040474969031338556,0.048408563595153664,458,10345
1,1,Middle,0.053125,0.04888182276685243,0.057714155145572134,527,9920
1,1,High,0.18585192697768763,0.1789451874501,0.19296259475610997,2199,11832
2,2,Low,0.01525188722847019,0.012544300922281473,0.018532915803065608,99,6491
2,2,Middle,0.024006359300476947,0.02050406935204284,0.02808971794632196,151,6290
2,2,High,0.0753948868262498,0.06905339514536198,0.08226728332420181,463,6141
3,3,Low,0.012430347192456065,0.009628400511895039,0.01603448278590247,58,4666
3,3,Middle,0.023809523809523808,0.019809505348787986,0.028593680905970423,111,4662
3,3,High,0.0507688552599463,0.04445752742475187,0.05792184757963749,208,4097
4,≥4,Low,0.014356319133913862,0.012432703835308931,0.016572565903121513,183,12747
4,≥4,Middle,0.017717674284061326,0.015648988555598233,0.020054254315546267,245,13828
4,≥4,High,0.0367680853019579,0.033392040170962554,0.04047116849689126,400,10879
