Sample,Definition,People,Person-weeks
Primary panel,Primary mixed models,150,"1,000"
Eight-week completers,Completed all sessions,107,856
Ranked-week illustration,Completers; R-GPTS s.d. ≥0.5,68,544
Fluctuator subgroup,Within-person R-GPTS s.d. >2,52,368
Omicron window,Weeks 3–8 with concern item,131,708
