Characteristic,Category or statistic,Value
"Age, years",Mean (s.d.),39.7 (11.2)
,Median (IQR),37.0 (31.0–47.8)
,Range,21–73
Gender,Female,78 (52.0%)
,Male,71 (47.3%)
,Multiple selections (female and male),1 (0.7%)
Race,American Indian or Alaska Native,1 (0.7%)
,Asian,4 (2.7%)
,Black or African American,16 (10.7%)
,Native Hawaiian or Other Pacific Islander,1 (0.7%)
,White,122 (81.3%)
,Other,2 (1.3%)
,More than one race,4 (2.7%)
Hispanic or Latino ethnicity,Yes,7 (4.7%)
,No,143 (95.3%)
Education,Less than high school,1 (0.7%)
,High school or equivalent,17 (11.3%)
,"Some college, no degree",27 (18.0%)
,Associate degree,12 (8.0%)
,Bachelor’s degree,65 (43.3%)
,Some postgraduate study,3 (2.0%)
,Master’s degree,24 (16.0%)
,Doctorate or professional degree,1 (0.7%)
Employment,Employed full time,103 (68.7%)
,Employed part time,6 (4.0%)
,Self-employed,15 (10.0%)
,Student,1 (0.7%)
,Homemaker,5 (3.3%)
,Retired,6 (4.0%)
,"Unemployed, looking for work",8 (5.3%)
,"Unemployed, not looking for work",3 (2.0%)
,Unable to work,3 (2.0%)
"Annual income, US$","Less than $20,000",27 (18.0%)
,"$20,000–$34,999",19 (12.7%)
,"$35,000–$49,999",25 (16.7%)
,"$50,000–$74,999",43 (28.7%)
,"$75,000–$99,999",17 (11.3%)
,"> $100,000",19 (12.7%)
