Week,Finished,R-GPTS,Paired panel,Retained
1,150,150,150,100.0%
2,140,140,139,92.7%
3,130,130,130,86.7%
4,126,126,126,84.0%
5,120,120,120,80.0%
6,116,116,116,77.3%
7,111,111,111,74.0%
8,108,108,108,72.0%
